Model,Mean,Median,Q1,Q3,Whisker Low,Whisker High,Outliers,Standard Deviation,Confidence Interval
Gemma-7B,106.79872724126639,103.361581920904,100.0,115.0,77.5,137.5,"[160.606060606061, 147.368421052632, 138.709677419355, 142.424242424242, 140.0, 137.931034482759, 143.333333333333, 150.0, 148.0, 159.090909090909, 139.130434782609, 142.307692307692, 141.666666666667, 142.857142857143, 144.0, 140.0, 77.4193548387097, 142.857142857143, 157.894736842105, 138.888888888889, 280.0, 141.176470588235, 150.0, 184.615384615385, 142.105263157895, 138.095238095238, 164.285714285714, 150.0, 210.0, 162.5, 146.153846153846, 157.142857142857, 140.0, 140.0, 138.888888888889, 178.571428571429, 157.142857142857, 76.1904761904762, 143.75, 166.666666666667, 143.75, 188.888888888889, 146.666666666667, 142.857142857143, 140.0, 146.153846153846, 142.857142857143, 141.666666666667, 212.5, 141.666666666667, 146.153846153846, 145.454545454545, 145.454545454545, 141.666666666667, 160.0, 140.0, 141.666666666667, 150.0, 171.428571428571, 140.0, 166.666666666667, 171.428571428571, 140.0, 150.0, 61.5384615384615, 155.555555555556, 233.333333333333, 155.555555555556, 157.142857142857, 155.555555555556, 155.555555555556, 171.428571428571, 150.0, 162.5, 144.444444444444, 200.0, 142.857142857143, 157.142857142857, 157.142857142857, 142.857142857143, 150.0, 157.142857142857, 200.0, 157.142857142857, 150.0, 166.666666666667, 157.142857142857, 142.857142857143, 150.0, 180.0, 160.0, 180.0, 140.0, 150.0, 140.0, 150.0, 150.0]",10.662767883593805,"(106.319226542556, 107.27822793997679)"
LLaMA-3-8B,55.70030773752047,55.172413793103445,42.85714285714285,69.23076923076923,3.296703296703278,108.79120879120879,"[121.21212121212122, 115.78947368421052, 165.11627906976744, 116.66666666666669, 137.83783783783784, 112.0, 118.1818181818182, 223.0769230769231, 119.04761904761904, 200.0, 170.0, 110.0, 110.5263157894737, 250.0, 113.33333333333331, 130.76923076923077, 111.11111111111111, 122.22222222222224, 109.52380952380952, 130.0, 171.42857142857142, 150.0, 150.0, 118.75, 117.64705882352942, 122.22222222222224, 113.33333333333331, 112.5, 123.07692307692308, 128.57142857142858, 127.27272727272728, 130.76923076923077, 120.0, 109.09090909090908, 114.28571428571428, 0.0, 133.33333333333331, 110.0, 111.11111111111111, 142.85714285714286, 111.11111111111111, 150.0, 142.85714285714286, 111.11111111111111, 114.28571428571428, 125.0, 122.22222222222224, 0.0, 160.0, 0.0, 109.09090909090908, 128.57142857142858, 125.0, 128.57142857142858, 183.3333333333333, 128.57142857142858, 150.0, 133.33333333333331, 140.0, 120.0, 0.0, 116.66666666666669, 150.0, 125.0]",18.96349084543564,"(54.85483884929562, 56.54577662574532)"
LLaMA-2-7B,69.95252847419461,69.23076923076923,56.07317073170732,85.71428571428571,11.611498257839742,130.1759581881533,"[193.1034482758621, 133.33333333333331, 145.94594594594594, 168.57142857142858, 160.0, 142.30769230769232, 188.0952380952381, 254.83870967741936, 161.76470588235296, 141.1764705882353, 220.00000000000003, 246.66666666666669, 135.0, 9.67741935483871, 147.82608695652172, 275.0, 270.0, 157.89473684210526, 147.61904761904762, 165.3846153846154, 233.33333333333331, 152.0, 138.88888888888889, 176.0, 142.10526315789474, 244.44444444444449, 150.0, 235.7142857142857, 137.5, 5.88235294117647, 158.33333333333331, 181.25, 188.23529411764704, 242.85714285714283, 266.66666666666663, 140.0, 158.33333333333331, 147.05882352941177, 146.15384615384613, 150.0, 157.14285714285714, 570.0, 200.0, 187.5, 143.75, 200.0, 335.7142857142857, 135.71428571428572, 0.0, 175.0, 140.0, 163.63636363636363, 164.28571428571428, 162.5, 145.45454545454547, 146.15384615384613, 133.33333333333331, 130.76923076923077, 136.36363636363637, 169.23076923076923, 133.33333333333331, 166.66666666666669, 185.7142857142857, 133.33333333333331, 177.77777777777777, 150.0, 137.5, 145.45454545454547, 140.0, 160.0, 10.0, 154.54545454545453, 185.7142857142857, 166.66666666666669, 166.66666666666669, 142.85714285714286, 11.11111111111111, 175.0, 180.0, 133.33333333333331, 255.55555555555557, 183.3333333333333, 150.0, 172.72727272727272, 142.85714285714286, 155.55555555555557, 242.85714285714283, 183.3333333333333, 133.33333333333331, 140.0, 150.0, 366.6666666666666, 150.0, 200.0]",21.509837988497136,"(68.98600198904538, 70.91905495934384)"
DeepL,45.67617832279174,45.7142857142857,33.3333333333333,59.00349650349652,0.0,97.50874125874135,"[118.181818181818, 131.818181818182, 123.809523809524, 322.222222222222, 100.0, 200.0, 110.0, 230.0, 100.0, 100.0, 110.0, 157.142857142857, 157.142857142857, 100.0, 105.263157894737, 108.333333333333, 105.882352941176, 133.333333333333, 107.142857142857, 100.0, 108.333333333333, 107.142857142857, 112.5, 115.384615384615, 100.0, 100.0, 106.666666666667, 100.0, 100.0, 100.0, 110.0, 109.090909090909, 100.0, 100.0, 128.571428571429, 144.444444444444, 100.0, 111.111111111111, 100.0, 166.666666666667, 100.0, 111.111111111111, 100.0, 125.0, 100.0, 180.0, 140.0, 116.666666666667, 128.571428571429, 100.0, 100.0, 116.666666666667, 133.333333333333, 100.0, 112.5, 100.0, 100.0, 100.0, 100.0, 125.0, 150.0]",18.67802817103329,"(44.84408210448565, 46.50827454109783)"
Mistral-7B,61.27141447213997,61.53846153846154,50.0,75.0,12.5,112.5,"[136.36363636363637, 291.1111111111111, 303.030303030303, 246.66666666666669, 164.51612903225808, 0.0, 0.0, 0.0, 384.0, 188.0, 114.28571428571428, 150.0, 147.36842105263156, 192.0, 146.875, 154.16666666666669, 230.0, 136.36363636363637, 179.31034482758622, 136.36363636363637, 226.08695652173915, 190.0, 142.85714285714286, 9.523809523809524, 189.4736842105263, 277.77777777777777, 233.33333333333331, 150.0, 150.0, 125.0, 114.28571428571428, 115.38461538461536, 7.6923076923076925, 123.07692307692308, 142.85714285714286, 121.42857142857142, 130.0, 126.66666666666666, 115.38461538461536, 7.142857142857142, 145.45454545454547, 130.76923076923077, 120.0, 118.1818181818182, 114.28571428571428, 0.0, 166.66666666666669, 120.0, 157.14285714285714, 116.66666666666669, 114.28571428571428, 133.33333333333331, 122.22222222222224, 120.0, 114.28571428571428, 114.28571428571428, 125.0, 236.3636363636364, 136.36363636363637, 150.0, 287.5, 128.57142857142858, 266.66666666666663, 114.28571428571428, 164.28571428571428, 1166.6666666666663, 0.0, 218.18181818181816, 388.88888888888886, 244.44444444444449, 242.85714285714283, 10.0, 485.71428571428567, 222.22222222222223, 140.0, 533.3333333333333, 266.66666666666663, 214.28571428571428, 400.0, 316.66666666666663, 150.0, 633.3333333333333, 150.0]",17.650812176732412,"(60.48057294504803, 62.062255999231915)"
Amazon (Stock),44.43831015249536,43.75,31.8181818181818,57.6923076923077,0.0,96.50349650349656,"[112.121212121212, 100.0, 123.809523809524, 211.111111111111, 104.761904761905, 166.666666666667, 220.0, 100.0, 110.0, 112.5, 185.714285714286, 164.285714285714, 121.428571428571, 100.0, 105.882352941176, 122.222222222222, 100.0, 107.142857142857, 107.692307692308, 107.692307692308, 115.384615384615, 100.0, 109.090909090909, 109.090909090909, 100.0, 142.857142857143, 133.333333333333, 111.111111111111, 100.0, 183.333333333333, 125.0, 100.0, 120.0, 160.0, 100.0, 133.333333333333, 114.285714285714, 166.666666666667, 133.333333333333, 100.0, 100.0, 100.0, 100.0, 100.0, 125.0, 100.0]",18.621054618009342,"(43.611947889405116, 45.26467241558561)"
Amazon (Custom),44.70931907707566,44.4444444444444,31.8181818181818,58.8903743315508,0.0,99.49866310160431,"[112.121212121212, 100.0, 123.809523809524, 211.111111111111, 104.761904761905, 166.666666666667, 220.0, 100.0, 110.0, 112.5, 185.714285714286, 164.285714285714, 121.428571428571, 100.0, 105.882352941176, 122.222222222222, 100.0, 107.142857142857, 107.692307692308, 107.692307692308, 100.0, 100.0, 100.0, 115.384615384615, 108.333333333333, 100.0, 100.0, 109.090909090909, 109.090909090909, 100.0, 100.0, 142.857142857143, 133.333333333333, 111.111111111111, 100.0, 100.0, 100.0, 100.0, 233.333333333333, 114.285714285714, 125.0, 100.0, 100.0, 100.0, 100.0, 120.0, 160.0, 100.0, 100.0, 133.333333333333, 100.0, 114.285714285714, 166.666666666667, 100.0, 100.0, 100.0, 100.0, 133.333333333333, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 125.0, 100.0, 100.0]",19.257456260478463,"(43.84985411670267, 45.56878403744865)"
Google,47.50124288556005,47.295321637426895,36.36363636363637,60.89607635206787,0.0,97.69473633471513,"[118.1818181818182, 105.26315789473684, 100.0, 100.0, 118.1818181818182, 109.52380952380952, 100.0, 104.76190476190476, 220.00000000000003, 100.0, 120.0, 106.25, 150.0, 106.66666666666669, 128.57142857142858, 100.0, 100.0, 105.88235294117648, 122.22222222222224, 100.0, 107.14285714285714, 100.0, 106.25, 115.38461538461536, 107.14285714285714, 130.76923076923077, 109.09090909090908, 109.09090909090908, 111.11111111111111, 100.0, 100.0, 100.0, 100.0, 109.09090909090908, 157.14285714285714, 133.33333333333331, 100.0, 111.11111111111111, 100.0, 100.0, 166.66666666666669, 100.0, 111.11111111111111, 110.0, 125.0, 100.0, 120.0, 114.28571428571428, 100.0, 100.0, 116.66666666666669, 100.0, 100.0, 100.0, 150.0, 133.33333333333331, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 150.0, 100.0, 100.0]",18.50847689625507,"(46.67563303749966, 48.32685273362045)"
LLaMA-2-13B,60.402970447997056,60.0,45.93486929552503,77.27272727272727,0.0,124.27951423853062,"[148.57142857142858, 428.125, 155.0, 142.42424242424244, 151.28205128205127, 158.13953488372093, 178.0487804878049, 375.6097560975609, 157.5, 212.5, 146.34146341463415, 152.08333333333331, 131.70731707317074, 161.53846153846155, 188.0952380952381, 184.375, 188.3720930232558, 135.8974358974359, 325.0, 125.0, 154.2857142857143, 230.3030303030303, 127.02702702702702, 297.1428571428572, 250.0, 136.36363636363637, 264.0, 178.78787878787878, 186.95652173913044, 252.6315789473684, 133.33333333333331, 148.4848484848485, 148.27586206896552, 476.6666666666667, 370.3703703703704, 303.57142857142856, 175.86206896551724, 172.41379310344826, 156.66666666666666, 176.0, 196.15384615384613, 451.6129032258065, 134.7826086956522, 155.17241379310346, 142.85714285714286, 623.8095238095239, 167.85714285714286, 509.5238095238095, 192.30769230769232, 175.0, 361.5384615384616, 165.3846153846154, 642.8571428571429, 268.0, 152.38095238095238, 393.75, 228.0, 275.0, 522.7272727272727, 240.0, 303.030303030303, 575.0, 126.3157894736842, 144.44444444444443, 169.56521739130434, 130.0, 131.25, 438.4615384615385, 768.1818181818181, 142.85714285714286, 659.0909090909091, 131.25, 178.57142857142858, 638.8888888888889, 520.0, 141.66666666666669, 136.36363636363637, 1222.2222222222222, 130.76923076923077, 582.3529411764706, 519.047619047619, 128.57142857142858, 415.00000000000006, 200.0, 668.75, 340.90909090909093, 587.5, 153.84615384615387, 142.85714285714286, 141.66666666666669, 847.3684210526314, 156.25, 194.1176470588236, 682.3529411764706, 392.8571428571428, 1284.6153846153848, 525.0, 1162.5, 163.63636363636363, 576.4705882352941, 1216.6666666666663, 142.85714285714286, 133.33333333333331, 133.33333333333331, 157.14285714285714, 1788.888888888889, 1525.0, 125.0, 133.33333333333331, 180.0, 1138.4615384615386, 814.2857142857142, 128.57142857142858, 150.0, 1028.571428571429, 390.9090909090909, 822.2222222222222, 125.0, 171.42857142857142, 1537.5, 591.6666666666667, 1080.0, 216.66666666666663, 1340.0, 133.33333333333331, 133.33333333333331, 140.0, 150.0, 125.0]",21.802787174422118,"(59.414143052837964, 61.39179784315615)"
Mixtral-8x7B,56.25094574155331,57.14285714285714,42.85714285714285,71.42857142857143,0.0,114.2857142857143,"[144.44444444444443, 133.33333333333331, 155.8139534883721, 140.9090909090909, 178.94736842105263, 173.80952380952382, 182.8571428571429, 307.5, 180.95238095238096, 117.64705882352942, 118.1818181818182, 215.7894736842105, 165.85365853658536, 164.86486486486487, 226.3157894736842, 223.2558139534884, 169.44444444444443, 311.7647058823529, 115.55555555555554, 152.38095238095238, 158.33333333333331, 151.42857142857142, 125.0, 154.54545454545453, 157.5, 120.51282051282053, 127.27272727272728, 116.12903225806453, 163.33333333333334, 296.969696969697, 211.53846153846155, 155.88235294117646, 325.0, 294.28571428571433, 120.83333333333331, 243.3333333333333, 172.0, 232.25806451612905, 117.3913043478261, 184.0, 254.54545454545453, 171.42857142857142, 284.2105263157895, 233.33333333333331, 164.0, 132.14285714285714, 230.0, 126.66666666666666, 129.41176470588235, 130.76923076923077, 123.07692307692308, 117.64705882352942, 130.0, 128.57142857142858, 125.0, 200.0, 205.26315789473685, 178.57142857142858, 116.66666666666669, 123.52941176470588, 122.22222222222224, 142.85714285714286, 118.75, 131.25, 123.07692307692308, 118.75, 181.8181818181818, 118.1818181818182, 127.27272727272728, 118.1818181818182, 157.14285714285714, 120.0, 122.22222222222224, 128.57142857142858, 122.22222222222224, 183.3333333333333, 122.22222222222224, 160.0, 150.0, 150.0, 183.3333333333333, 142.85714285714286, 137.5, 155.55555555555557, 185.7142857142857, 133.33333333333331, 140.0, 125.0, 120.0, 116.66666666666669, 175.0, 125.0]",20.175946901183266,"(55.34483266052251, 57.157058822584105)"
